City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
263,Horki,BY,54.2861,30.9842,62.73,71,92,6.76,overcast clouds
264,Mount Pleasant,US,32.7941,-79.8626,86.09,80,75,1.01,broken clouds
265,Shchors,UA,51.8186,31.945,62.92,75,100,6.31,light rain
266,Uga,NG,5.9358,7.0793,74.39,87,100,2.15,overcast clouds
267,Shediac,CA,46.2198,-64.5411,84.09,44,75,13.76,broken clouds
268,Fortuna,US,40.5982,-124.1573,66.47,70,1,5.01,clear sky
269,Tarakan,ID,3.3,117.6333,83.91,73,78,8.55,broken clouds
270,Narsaq,GL,60.9167,-46.05,61.02,59,99,7.2,overcast clouds
271,Port Blair,IN,11.6667,92.75,83.84,77,100,11.43,overcast clouds
272,Mkushi,ZM,-13.6202,29.3939,62.65,54,95,7.7,overcast clouds
273,Rykhtychi,UA,49.3851,23.5566,64.49,75,99,0.89,overcast clouds
274,Sabang,ID,5.8933,95.3214,83.41,72,100,16.02,overcast clouds
275,Auckland,NZ,-36.8667,174.7667,62.71,83,75,13.0,broken clouds
276,Kaka,TM,37.3482,59.6143,92.5,26,0,8.86,clear sky
277,San Rafael,AR,-34.6177,-68.3301,53.89,52,0,7.05,clear sky
278,Kurilsk,RU,45.2333,147.8833,51.76,73,4,7.16,clear sky
279,Asau,RO,46.4333,26.4,69.28,61,78,6.06,broken clouds
280,Murray Bridge,AU,-35.1167,139.2667,57.85,92,7,6.38,clear sky
281,Petropavlivka,UA,48.4564,36.4367,63.1,81,94,7.7,overcast clouds
282,Praia Da Vitoria,PT,38.7333,-27.0667,70.75,80,43,3.58,scattered clouds
283,Kahului,US,20.8947,-156.47,75.85,75,20,13.8,few clouds
284,Saint George,US,37.1041,-113.5841,95.47,17,1,3.0,clear sky
285,Carlos Antonio Lopez,PY,-26.4,-54.7667,85.26,33,100,7.9,overcast clouds
286,Tigil,RU,57.8,158.6667,49.15,87,100,10.33,overcast clouds
287,Tubigan,PH,8.5322,124.3122,77.9,78,96,3.89,overcast clouds
